name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost2plates,type
Shiva's Bar And Restaurant,No,No,good,0,BTM,others,others,800,Dine-out
Nanna Munna,No,No,bad,8,BTM,Quick Bites,"North Indian, Chinese",200,Dine-out
Bamboo Heights,No,No,good,112,BTM,Casual Dining,others,500,Dine-out
Zengi Pub & Restaurant,Yes,No,good,32,BTM,others,others,900,Dine-out
Biggies Burger 'n' More,Yes,No,good,208,BTM,others,others,650,Dine-out
PHEW (Play Hard Eat Wild),Yes,Yes,good,487,BTM,Cafe,others,700,Dine-out
The 90s Hash House,No,No,good,63,BTM,Cafe,Cafe,500,Dine-out
Eatery Have U Been,Yes,No,bad,35,BTM,others,others,500,Dine-out
Chai Point,Yes,No,insane,113,BTM,others,others,250,Dine-out
Odissi Restaurant,Yes,No,bad,62,BTM,Casual Dining,others,500,Dine-out
Krishna Sagar,Yes,No,good,52,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
Sri Punjabi Dhaba,Yes,No,bad,44,BTM,others,North Indian,400,Dine-out
Pizza Hut,Yes,No,bad,19,BTM,Casual Dining,"Pizza, Fast Food",750,Dine-out
Cupp,No,No,good,0,BTM,Cafe,"Cafe, Fast Food",550,Dine-out
Grillopia,Yes,No,good,88,BTM,Quick Bites,others,1000,Dine-out
Yum In My Tum,Yes,No,insane,99,BTM,Quick Bites,others,300,Dine-out
Namaste,No,No,good,0,BTM,Quick Bites,South Indian,70,Dine-out
Biriyani Bhatti,Yes,No,good,21,BTM,Quick Bites,others,400,Dine-out
Gyani Da Punjabi Dhaba,Yes,No,good,1189,BTM,Quick Bites,"North Indian, Chinese",500,Dine-out
Bathinda Tandoor,Yes,No,good,0,BTM,Quick Bites,North Indian,300,Dine-out
Heaven 2 Oven,Yes,No,good,0,BTM,Quick Bites,Chinese,300,Dine-out
Awesome Foods,Yes,No,good,23,BTM,Quick Bites,"Chinese, North Indian",300,Dine-out
Kalingas,Yes,No,good,179,BTM,Quick Bites,others,250,Dine-out
Muthashy's,Yes,No,insane,465,BTM,Quick Bites,others,400,Dine-out
Swadista Aahar,Yes,No,insane,783,BTM,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Dine-out
Kannur Food Point,No,No,insane,137,BTM,Quick Bites,others,200,Dine-out
Aramane Donne Biriyani,Yes,No,good,191,BTM,Quick Bites,"Biryani, Fast Food",300,Dine-out
Ambur Star Briyani,Yes,No,bad,383,BTM,Quick Bites,"Biryani, Kebab",400,Dine-out
The Shawarma Shop,Yes,No,insane,381,BTM,Quick Bites,Arabian,250,Dine-out
Litti Twist,Yes,No,insane,465,BTM,Quick Bites,others,300,Dine-out
KFC,Yes,No,good,348,BTM,Quick Bites,"Burger, Fast Food",400,Dine-out
Domino's Pizza,Yes,No,insane,521,BTM,Quick Bites,"Pizza, Fast Food",400,Dine-out
YummRajj,Yes,No,bad,42,BTM,Quick Bites,Fast Food,500,Dine-out
Amaravati,No,No,good,39,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Faasos,Yes,No,good,441,BTM,Quick Bites,others,500,Dine-out
Appana Restaurant,Yes,No,bad,11,BTM,Quick Bites,North Indian,300,Dine-out
Petoo,Yes,No,insane,23,BTM,Quick Bites,others,400,Dine-out
Darshan Paradise Restaurant,Yes,No,good,0,BTM,Quick Bites,"North Indian, Chinese",250,Dine-out
The Cake Lair,Yes,No,bad,9,BTM,Quick Bites,others,600,Dine-out
Roti Wala,Yes,No,insane,199,BTM,Quick Bites,North Indian,300,Dine-out
Vyanjan,Yes,No,good,201,BTM,Quick Bites,"North Indian, Street Food",300,Dine-out
Falooda Cafe,Yes,No,good,0,BTM,Quick Bites,"Beverages, Desserts",200,Dine-out
Desi Aahar,Yes,No,good,0,BTM,Quick Bites,"North Indian, Chinese, Seafood",400,Dine-out
Ashirvaad Grand,Yes,No,insane,113,BTM,Quick Bites,others,400,Dine-out
Manchu Cafe,Yes,No,good,22,BTM,Quick Bites,others,300,Dine-out
New Tasty Cafeteria,Yes,No,good,376,BTM,Quick Bites,others,500,Dine-out
Nadan Thattukada,Yes,No,good,35,BTM,Quick Bites,others,200,Dine-out
New Limra Hotel,No,No,bad,5,BTM,Quick Bites,others,200,Dine-out
Fogg,No,Yes,good,0,BTM,Quick Bites,others,200,Dine-out
Gorbandh,Yes,No,insane,84,BTM,Quick Bites,others,400,Dine-out
Just Sandwiches,Yes,No,good,10,BTM,Quick Bites,others,100,Dine-out
Shri Ram Sweet Centre,No,No,insane,160,BTM,others,others,150,Dine-out
Bangalore Star Biriyani,No,No,bad,7,BTM,Quick Bites,others,300,Dine-out
Tarbouche,Yes,No,good,12,BTM,Quick Bites,others,300,Dine-out
JP Fish Land,Yes,No,good,24,BTM,Quick Bites,others,300,Dine-out
Anda Ka Funda,Yes,No,bad,64,BTM,Quick Bites,others,250,Dine-out
Poha House,Yes,No,good,6,BTM,Quick Bites,others,200,Dine-out
New South Corner,Yes,No,good,20,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
Kabab Magic,Yes,No,good,879,BTM,Quick Bites,others,500,Dine-out
Swad Punjab Da,Yes,No,insane,128,BTM,Quick Bites,North Indian,150,Dine-out
RB Food Point,Yes,No,good,31,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
The Food Cottage,Yes,No,good,48,BTM,Quick Bites,others,350,Dine-out
B2D Indori Dhaba,No,No,good,0,BTM,Quick Bites,North Indian,100,Dine-out
Taste Of Kolkata,Yes,No,bad,59,BTM,Quick Bites,others,400,Dine-out
Afghani Tandoori Hub,Yes,No,good,14,BTM,Quick Bites,others,400,Dine-out
Bansuri Sweets,No,No,good,110,BTM,Quick Bites,others,200,Dine-out
Pathaan Sir,Yes,No,good,183,BTM,Quick Bites,others,250,Dine-out
Just Shawarma,Yes,No,good,201,BTM,Quick Bites,Arabian,300,Dine-out
Al Hayath,No,No,bad,17,BTM,Quick Bites,"North Indian, Chinese",200,Dine-out
Khaja Point,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese, Biryani",300,Dine-out
Chaatimes,Yes,No,bad,46,BTM,Quick Bites,others,200,Dine-out
Sagar Fast Food,Yes,No,good,66,BTM,Quick Bites,"South Indian, Chinese, North Indian",300,Dine-out
Eat N Pack,No,No,good,0,BTM,Quick Bites,Kerala,150,Dine-out
Zeeshan,Yes,No,bad,178,BTM,Quick Bites,others,700,Dine-out
Bake and Juice,Yes,No,bad,15,BTM,Quick Bites,"Fast Food, Beverages",400,Dine-out
Taste Of Malabar,Yes,No,good,23,BTM,Quick Bites,others,350,Dine-out
Hungry Lee,No,No,insane,358,BTM,Quick Bites,others,500,Dine-out
Kairali,Yes,No,good,170,BTM,Quick Bites,others,300,Dine-out
BTM Ghar ka Khana,No,No,good,126,BTM,Quick Bites,North Indian,200,Dine-out
Rolls On Wheels,No,No,bad,13,BTM,Quick Bites,others,200,Dine-out
Indori Chatorey,Yes,No,bad,138,BTM,Quick Bites,"North Indian, Street Food",300,Dine-out
Daniyal's,Yes,No,bad,42,BTM,Quick Bites,others,800,Dine-out
Joon Restaurant,Yes,No,good,31,BTM,Quick Bites,others,400,Dine-out
The Biriyani Pedia,Yes,No,good,56,BTM,Quick Bites,Biryani,300,Dine-out
Body Temple,Yes,No,bad,12,BTM,Quick Bites,others,500,Dine-out
Rajveena Kitchen,Yes,No,good,27,BTM,Quick Bites,others,500,Dine-out
Friends Chats Adda,No,No,good,0,BTM,Quick Bites,others,200,Dine-out
Hotel Udipi Krishna,No,No,good,0,BTM,Quick Bites,South Indian,100,Dine-out
Amjad Bhai's Star Hotel - Home Food Only,No,No,good,0,BTM,Quick Bites,"North Indian, South Indian",300,Dine-out
The Hungers Zone,Yes,No,good,57,BTM,Quick Bites,others,300,Dine-out
Baba Ka Dhaba,Yes,No,good,195,BTM,Quick Bites,North Indian,400,Dine-out
RK Fresh Food,Yes,No,bad,13,BTM,Quick Bites,Fast Food,300,Dine-out
Royal Biryani Kitchen,Yes,No,good,187,BTM,Quick Bites,others,600,Dine-out
Rayaan's BBQ,Yes,No,bad,6,BTM,Quick Bites,others,350,Dine-out
Dev's Gugababa,Yes,No,bad,177,BTM,Quick Bites,others,500,Dine-out
Funky Punjab,Yes,No,good,124,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Sri Nandi Grand,Yes,No,bad,6,BTM,Quick Bites,"North Indian, South Indian",300,Dine-out
Bisimillah Biriyani,No,No,bad,11,BTM,Quick Bites,"Biryani, Fast Food",300,Dine-out
Kesar Sweet Shop and Fast Food,No,No,insane,213,BTM,Quick Bites,others,500,Dine-out
New Mahesh Friends Food Corner,Yes,No,bad,48,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Biryani Dawat,No,No,good,0,BTM,Quick Bites,others,400,Dine-out
Momo Time,Yes,No,good,0,BTM,Quick Bites,others,600,Dine-out
Paratha Plaza,Yes,No,bad,96,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Arabian Bites,Yes,No,bad,24,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
New Kabab Zone,No,No,bad,39,BTM,Quick Bites,"North Indian, Fast Food",500,Dine-out
McDonald's,Yes,No,good,59,BTM,Quick Bites,"Burger, Fast Food",500,Dine-out
Udupi Gokul Cafe,No,No,good,58,BTM,Quick Bites,South Indian,300,Dine-out
Sri Devi Baker's,No,No,good,41,BTM,others,others,200,Dine-out
Cafe Alchemist,Yes,No,good,61,BTM,Quick Bites,others,300,Dine-out
Healthy Parathawala,Yes,No,good,0,BTM,Quick Bites,North Indian,200,Dine-out
Veruthe Oru Thattukada,Yes,No,good,27,BTM,Quick Bites,"Kerala, South Indian",400,Dine-out
Kallummakkaya,Yes,No,good,0,BTM,Quick Bites,"South Indian, North Indian",200,Dine-out
Sri Krishna Kitchen,Yes,No,good,41,BTM,Quick Bites,Fast Food,400,Dine-out
Namma Kadai,No,No,bad,4,BTM,Quick Bites,South Indian,150,Dine-out
Chokha Chowka,Yes,No,good,357,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Kapoor's Biriyani,Yes,No,bad,334,BTM,Quick Bites,"Biryani, North Indian",400,Dine-out
Ammus Hot N Cool,Yes,No,bad,84,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Eat N Drink,No,No,good,87,BTM,Quick Bites,Fast Food,250,Dine-out
The Bong Palate,Yes,No,good,60,BTM,Quick Bites,others,300,Dine-out
Stop N Joy,No,No,good,0,BTM,Quick Bites,others,150,Dine-out
Mini Adiga's,No,No,bad,27,BTM,Quick Bites,others,250,Dine-out
Nellore Dosa Camp,No,No,bad,5,BTM,Quick Bites,others,70,Dine-out
Ambur Dum Biryani,No,No,good,0,BTM,Quick Bites,Biryani,200,Dine-out
GFC Biryani,Yes,No,good,0,BTM,Quick Bites,Biryani,300,Dine-out
Hyderabad Biriyani House,No,No,good,0,BTM,Quick Bites,Biryani,400,Dine-out
Omleterian,Yes,No,good,0,BTM,Quick Bites,others,200,Dine-out
Sri Saravana Bhavan,No,No,good,35,BTM,Quick Bites,South Indian,200,Dine-out
Fillers,Yes,No,good,138,BTM,Quick Bites,"North Indian, Fast Food",300,Dine-out
Kafe Nook,Yes,No,good,35,BTM,Quick Bites,Fast Food,300,Dine-out
Gangothri Kabab Corner,No,No,bad,18,BTM,Quick Bites,North Indian,400,Dine-out
Thalassery Cafe,No,No,bad,7,BTM,Quick Bites,Street Food,150,Dine-out
Nawab-E-Khana,Yes,No,bad,30,BTM,Quick Bites,"North Indian, Biryani",500,Dine-out
Kataria's Home Food,Yes,No,bad,40,BTM,Quick Bites,North Indian,400,Dine-out
The Biriyani Factory,Yes,No,bad,30,BTM,Quick Bites,"North Indian, Biryani",500,Dine-out
Bisimillah Biriyani's & Kebab's,No,No,bad,6,BTM,Quick Bites,"Biryani, Fast Food",300,Dine-out
SS Hot Dhum Briyani Point,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese, South Indian",200,Dine-out
Cafe 58,No,No,bad,4,BTM,Quick Bites,others,200,Dine-out
Samosa King,No,No,bad,6,BTM,Quick Bites,Street Food,200,Dine-out
Five Star Chicken,Yes,No,bad,24,BTM,Quick Bites,Fast Food,350,Dine-out
Chicken Magic,Yes,No,good,209,BTM,Quick Bites,"Chinese, North Indian",300,Dine-out
Tongue Twisters,Yes,No,bad,283,BTM,Quick Bites,others,350,Dine-out
Apna Punjab,Yes,No,good,474,BTM,Quick Bites,"North Indian, Chinese, Fast Food",450,Dine-out
Ghee Biryani House,Yes,No,bad,7,BTM,Quick Bites,others,400,Dine-out
Udupi Thaja Thindi,Yes,No,bad,42,BTM,Quick Bites,others,250,Dine-out
Chatter Platter,Yes,No,bad,29,BTM,Quick Bites,others,300,Dine-out
Habitts,Yes,No,good,61,BTM,Quick Bites,others,450,Dine-out
Snack Knack,Yes,No,bad,36,BTM,Quick Bites,"North Indian, Chinese",200,Dine-out
Al Habibi Restaurant,Yes,No,bad,17,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Indian Paratha Factory,Yes,No,bad,24,BTM,Quick Bites,North Indian,250,Dine-out
Sher-E-Punjab,Yes,No,bad,19,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Speedbreaker,Yes,No,bad,14,BTM,Quick Bites,North Indian,300,Dine-out
Totus,Yes,No,good,0,BTM,Quick Bites,Chinese,300,Dine-out
Tandoor Nation,Yes,No,bad,39,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Multi Kitchen,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Desi Vdesi,Yes,No,good,50,BTM,Quick Bites,others,250,Dine-out
Miss Momo,Yes,No,bad,10,BTM,Quick Bites,others,250,Dine-out
Mangalore Lunch Home,Yes,No,good,42,BTM,Quick Bites,others,250,Dine-out
Indian Kitchen Eateries-IKE,Yes,No,bad,8,BTM,Quick Bites,Fast Food,150,Dine-out
Jigarthanda,No,No,good,11,BTM,Quick Bites,others,200,Dine-out
Spice Taj,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Kolakata Biryani Cafe,No,No,good,0,BTM,Quick Bites,others,400,Dine-out
Basava Hotel,No,No,good,0,BTM,Quick Bites,South Indian,200,Dine-out
Ammayi Thakkaram,No,No,good,0,BTM,Quick Bites,"Kerala, South Indian",400,Dine-out
Nanu's Shawarma,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Udupi Thadka,No,No,good,0,BTM,Quick Bites,"South Indian, Chinese, North Indian",250,Dine-out
Sri Venkateswara Andra Mess,No,No,good,0,BTM,Quick Bites,South Indian,120,Dine-out
Yaduvanshi Hotel,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Peshawari Zaika,No,No,good,0,BTM,Quick Bites,"North Indian, Fast Food",300,Dine-out
Swad Plaza,Yes,No,bad,6,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Sri Sankara Cafe,Yes,No,good,26,BTM,Quick Bites,South Indian,100,Dine-out
Limra Hotel,Yes,No,bad,26,BTM,Quick Bites,"Chinese, North Indian",300,Dine-out
Borah's Kitchen,Yes,No,bad,12,BTM,Quick Bites,"North Indian, Chinese",250,Dine-out
Magix's Parattha Roll,Yes,No,good,184,BTM,Quick Bites,others,400,Dine-out
Meat And Eat,Yes,No,bad,15,BTM,Quick Bites,"Fast Food, Burger",500,Dine-out
Khan's Biryani,Yes,No,bad,11,BTM,Quick Bites,"Biryani, North Indian",300,Dine-out
Armaani Caffe,Yes,No,bad,12,BTM,Quick Bites,Fast Food,250,Dine-out
Chicken Corner,Yes,No,good,25,BTM,Quick Bites,others,400,Dine-out
Subway,Yes,No,good,0,BTM,Quick Bites,others,600,Dine-out
Hungry Buddies,No,No,bad,33,BTM,Quick Bites,North Indian,150,Dine-out
HOTEL VKM,Yes,No,good,0,BTM,Quick Bites,South Indian,300,Dine-out
RCS Kitchen,Yes,No,bad,34,BTM,Quick Bites,Continental,500,Dine-out
Tomago Roast,Yes,No,bad,12,BTM,Quick Bites,"Fast Food, Beverages",400,Dine-out
Singh Punjabi Dhaba,No,No,good,67,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Sri Vishnupriya,No,No,bad,67,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
Punjabi Daawat,No,No,bad,221,BTM,Quick Bites,North Indian,550,Dine-out
Aarya Pork Hotel,No,No,bad,11,BTM,Quick Bites,others,300,Dine-out
Sri Krishna Sagar,No,No,good,11,BTM,Quick Bites,"South Indian, North Indian, Chinese",200,Dine-out
Hotel Adhvi,No,No,good,0,BTM,Quick Bites,South Indian,150,Dine-out
Mast Biryani,No,No,good,0,BTM,Quick Bites,Biryani,300,Dine-out
Apna Odisha Kolkatta Hotel,No,No,good,0,BTM,Quick Bites,North Indian,400,Dine-out
Bihari Food Corner,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese",250,Dine-out
Navaruchi,No,No,good,0,BTM,Quick Bites,others,350,Dine-out
Dribzz Bakes & Cafe,No,No,good,0,BTM,Quick Bites,others,200,Dine-out
Regal Cafe,No,No,good,0,BTM,others,others,200,Dine-out
Y Not Shawarma,No,No,good,0,BTM,Quick Bites,Arabian,300,Dine-out
Shawarma Hunt,No,No,good,0,BTM,Quick Bites,Arabian,300,Dine-out
Vibe Club,No,No,good,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out
Ayush Reddy Tiffins & Fast Food Center,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
RK Fast Food,No,No,good,0,BTM,Quick Bites,"South Indian, Chinese",300,Dine-out
Dhe Chef Cafe,No,No,good,0,BTM,Quick Bites,others,200,Dine-out
Hotel Sri Kumar Bhavan,No,No,good,0,BTM,Quick Bites,South Indian,200,Dine-out
Paradise Food Court,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Foodiction,No,No,good,0,BTM,Quick Bites,others,500,Dine-out
Foodies Club,Yes,No,bad,5,BTM,Quick Bites,others,300,Dine-out
Shawarma Corner,No,No,good,0,BTM,Quick Bites,Arabian,100,Dine-out
Royal Dine Family Restaurant,No,No,good,0,BTM,Quick Bites,others,400,Dine-out
Chai Makhan,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese, South Indian",300,Dine-out
Mirchi- The Indian Street Food Kitchen,No,No,good,0,BTM,Quick Bites,others,150,Dine-out
SS Hot Dum Briyani Point,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Zed Cafe,No,No,good,0,BTM,Quick Bites,others,350,Dine-out
RGS Ambur briyani,No,No,good,0,BTM,Quick Bites,"Biryani, Kebab",300,Dine-out
Salkara Malabar Kitchen,No,No,good,0,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
Delicious Mom's Kitchen,No,No,good,0,BTM,Quick Bites,others,200,Dine-out
Chorum Curryum,No,No,good,0,BTM,Quick Bites,others,250,Dine-out
Crunch Pizzas,Yes,No,bad,473,BTM,Quick Bites,"Italian, Pizza",600,Dine-out
Green Mango Restaurant,Yes,No,good,0,BTM,Quick Bites,"Kerala, South Indian",300,Dine-out
Pakiza Dilli Darbar Restaurant,Yes,No,bad,13,BTM,Quick Bites,Biryani,300,Dine-out
Red Chilli,Yes,No,good,0,BTM,Quick Bites,others,400,Dine-out
Sri Krishna Delight,Yes,No,good,0,BTM,Quick Bites,"North Indian, South Indian",250,Dine-out
Biryani Magic,Yes,No,bad,31,BTM,Quick Bites,"North Indian, Biryani",300,Dine-out
Sri Srinivas Park Hotel,Yes,No,good,0,BTM,Quick Bites,"South Indian, Fast Food",300,Dine-out
2nd Home Restaurant,Yes,No,good,21,BTM,Quick Bites,"South Indian, North Indian, Chinese",500,Dine-out
Naati Biriyani,No,No,bad,4,BTM,Quick Bites,others,300,Dine-out
FoodNite,Yes,No,good,0,BTM,Quick Bites,"North Indian, Chinese, Fast Food",350,Dine-out
Royal's Biryani,Yes,No,good,0,BTM,Quick Bites,Biryani,300,Dine-out
The Cuboidal,Yes,No,good,16,BTM,Quick Bites,others,300,Dine-out
Pan Asian,Yes,No,good,0,BTM,Quick Bites,Chinese,500,Dine-out
Deepam Tiffins,No,No,good,0,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
Joey's,No,No,good,43,BTM,Quick Bites,others,300,Dine-out
Pout,No,No,insane,40,BTM,others,Beverages,400,Dine-out
Chettinad Food House,No,No,bad,7,BTM,Quick Bites,others,300,Dine-out
Kaaka T Cafe,No,No,bad,6,BTM,Quick Bites,Fast Food,400,Dine-out
Food Junction,No,No,bad,42,BTM,Quick Bites,others,400,Dine-out
Boston Barista - Kappayum Curriyum,Yes,No,good,63,BTM,Quick Bites,Kerala,350,Dine-out
Desi Wok,No,No,bad,76,BTM,Quick Bites,"North Indian, Chinese",500,Dine-out
Namana Garden,No,No,bad,75,BTM,Quick Bites,others,400,Dine-out
Shaahi Mezbaan Restaurant,No,No,bad,9,BTM,Quick Bites,North Indian,350,Dine-out
Gelato Pazzo,No,No,good,47,BTM,Dessert Parlor,Desserts,200,Dine-out
Hotel Meed Cafe,No,No,bad,5,BTM,Quick Bites,"North Indian, South Indian",250,Dine-out
Karavali Lunch Home,No,No,bad,4,BTM,Quick Bites,Kerala,200,Dine-out
Bruncherz,No,No,bad,15,BTM,Quick Bites,"North Indian, Chinese",200,Dine-out
What the Food,No,No,good,38,BTM,Quick Bites,"North Indian, Chinese, Fast Food",250,Dine-out
Thani Nadan Food,No,No,good,0,BTM,Quick Bites,North Indian,300,Dine-out
Sri Udupi Sagar,No,No,bad,12,BTM,Quick Bites,South Indian,200,Dine-out
Around The Corner,No,No,good,22,BTM,Quick Bites,"North Indian, Chinese, Fast Food",350,Dine-out
Falafel Bistro,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Biriyani Angadi,No,No,bad,7,BTM,Quick Bites,Biryani,200,Dine-out
Tandoor Hub & Golmaal Paratha,No,No,bad,4,BTM,Quick Bites,North Indian,450,Dine-out
Tummy Delight,No,No,bad,15,BTM,Quick Bites,North Indian,400,Dine-out
Singh Da Dhaba,No,No,bad,5,BTM,Quick Bites,North Indian,400,Dine-out
Strategic Timeout Cafe,No,No,good,0,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out
New Farm Fresh,No,No,good,34,BTM,Quick Bites,"Italian, Pizza",650,Dine-out
Hot Burg,No,No,bad,14,BTM,Quick Bites,others,300,Dine-out
Yummerica Fries,No,No,bad,16,BTM,Quick Bites,"Fast Food, Beverages",300,Dine-out
Amrutha Mess,No,No,bad,5,BTM,Quick Bites,Kerala,300,Dine-out
Ande Ka Funda,No,No,bad,60,BTM,Quick Bites,others,250,Dine-out
Desi Adda,No,No,bad,22,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Two States,No,No,bad,5,BTM,Quick Bites,others,250,Dine-out
Sri Sapana Dhaba,Yes,No,bad,9,BTM,Quick Bites,North Indian,250,Dine-out
Dine in Restaurant,No,No,bad,7,BTM,Quick Bites,"South Indian, North Indian, Chinese",500,Dine-out
Sri Sharana Basaveshwara Khanavali,No,No,good,0,BTM,Quick Bites,South Indian,200,Dine-out
Adithya Family Restaurant,No,No,good,27,BTM,Quick Bites,South Indian,250,Dine-out
Top Foam Parantha Roll & Juice Centre,No,No,bad,13,BTM,Quick Bites,others,300,Dine-out
Basawa Hotel,No,No,bad,8,BTM,Quick Bites,South Indian,250,Dine-out
Ambur Azad Darbar,No,No,bad,6,BTM,Quick Bites,others,250,Dine-out
Ambur Biriyani Point,No,No,good,26,BTM,Quick Bites,Biryani,150,Dine-out
Gobi Gate,No,No,bad,8,BTM,Quick Bites,Chinese,200,Dine-out
YummyyDoz,No,No,good,0,BTM,Quick Bites,"Beverages, Fast Food",200,Dine-out
Hello Dish Biriyani,No,No,good,0,BTM,Quick Bites,Biryani,200,Dine-out
The Uptown,No,No,good,0,BTM,others,"Fast Food, Beverages",300,Dine-out
Fast N Food,No,No,good,0,BTM,Quick Bites,others,250,Dine-out
Shawarma Bae,No,No,bad,8,BTM,Quick Bites,"Beverages, Fast Food",200,Dine-out
Swad Now - The Biriyani Factory,No,No,good,0,BTM,Quick Bites,"North Indian, Biryani",400,Dine-out
Brew Cafe,No,No,bad,4,BTM,Quick Bites,Fast Food,300,Dine-out
Friend's Kitchen,No,No,bad,10,BTM,Quick Bites,"South Indian, Chinese",150,Dine-out
Chutneys Tiffin Center,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Five Star New Ambur Biryani,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Bismillah Restaurant,No,No,good,0,BTM,Quick Bites,others,200,Dine-out
Chatori Zuban,No,No,good,0,BTM,Quick Bites,"North Indian, Fast Food",200,Dine-out
Cee Yem,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Chinese Corner,No,No,good,0,BTM,Quick Bites,Chinese,300,Dine-out
South Side,No,No,bad,6,BTM,Quick Bites,others,250,Dine-out
Santhrupthi Halli Mane,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese, South Indian",500,Dine-out
Coal Grill & Cafe,No,No,bad,8,BTM,Quick Bites,Arabian,300,Dine-out
Barkat,No,No,bad,5,BTM,Quick Bites,Kerala,250,Dine-out
Hyderabadi Biryani House,No,No,good,0,BTM,Quick Bites,Biryani,300,Dine-out
Cafe Sulaimani,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Eaternet,No,No,good,24,BTM,Quick Bites,others,300,Dine-out
Sri Sai Restaurant,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Tit Bits,No,No,good,0,BTM,Quick Bites,"North Indian, Fast Food",400,Dine-out
Desi Urbane,No,No,good,108,BTM,Quick Bites,"North Indian, Chinese, Biryani",450,Dine-out
Rayalaseema Abhiruchulu,No,No,good,0,BTM,Quick Bites,"North Indian, South Indian, Chinese",250,Dine-out
Shawarma Bite,No,No,good,0,BTM,Quick Bites,Arabian,200,Dine-out
GR Foods,Yes,No,good,0,BTM,Quick Bites,"Andhra, Biryani",350,Dine-out
Jordan Cafe,No,No,good,0,BTM,Quick Bites,others,400,Dine-out
Ice N Spice,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Svadu Sweets,No,No,bad,5,BTM,others,others,150,Dine-out
C K Bake & Juice,No,No,bad,10,BTM,others,others,150,Dine-out
The Grand Kitchen Restaurant,No,No,good,0,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Hotel Mirchi Red,No,No,bad,32,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
My Dabeli & My Pizza,No,No,bad,5,BTM,Quick Bites,others,400,Dine-out
New Shetty Lunch Bhavan,No,No,good,0,BTM,Quick Bites,others,300,Dine-out
Food And You,Yes,No,good,33,BTM,Quick Bites,others,350,Dine-out
RSS Donne Biryani,Yes,No,bad,59,BTM,Quick Bites,Biryani,300,Dine-out
Chettayees,Yes,No,bad,147,BTM,Quick Bites,others,400,Dine-out
Mongolian Kitchen,No,No,good,30,BTM,Quick Bites,others,500,Dine-out
Dum Biryani Hub,Yes,No,good,64,BTM,Quick Bites,Biryani,700,Dine-out
Pappu Chaiwalla,Yes,No,bad,89,BTM,Quick Bites,others,350,Dine-out
New Punjabi Hotel,Yes,No,good,178,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Grill N Chill,No,No,bad,17,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Bay Root,No,No,good,24,BTM,Quick Bites,others,400,Dine-out
Hunger2Eat,Yes,No,good,26,BTM,Quick Bites,others,400,Dine-out
Ande Ka Funda,No,No,bad,27,BTM,Quick Bites,North Indian,200,Dine-out
Marunadan Kada,No,No,bad,6,BTM,Quick Bites,others,250,Dine-out
Al-Marhaba Restaurant,Yes,No,good,0,BTM,Quick Bites,others,400,Dine-out
